"spi1","xg2","score2","xg1","spi2","score1","adj_score1","date","proj_score2","nsxg2","league","league_id","probtie","prob2","team1"
51,1.14,2,0.23,72.74,0,0,"2022-11-20",1.75,1.35,"FIFA World Cup",1908,0.2586,0.5045,"Qatar"
85.96,1.45,2,1.04,62.17,6,5.78,"2022-11-21",0.58,0.32,"FIFA World Cup",1908,0.2539,0.1187,"England"
73.84,0.68,2,0.7,86.01,0,0,"2022-11-21",1.63,1.83,"FIFA World Cup",1908,0.2712,0.5053,"Senegal"
74.83,1.78,1,0.33,65.58,1,1.05,"2022-11-21",1.01,0.95,"FIFA World Cup",1908,0.292,0.2591,"USA"
87.21,0.15,2,1.63,56.87,1,1.05,"2022-11-22",0.54,0.53,"FIFA World Cup",1908,0.1966,0.0807,"Argentina"
80.02,1.16,0,0.66,65.85,0,0,"2022-11-22",0.82,0.69,"FIFA World Cup",1908,0.2945,0.2054,"Denmark"
74.3,1.02,0,0.45,68.28,0,0,"2022-11-22",1.06,0.49,"FIFA World Cup",1908,0.296,0.2802,"Mexico"
87.71,0.26,1,3.03,60.83,4,4.18,"2022-11-22",0.65,0.3,"FIFA World Cup",1908,0.207,0.1009,"France"
75.62,0.88,0,0.28,78.84,0,0,"2022-11-23",1.34,0.64,"FIFA World Cup",1908,0.2926,0.3898,"Morocco"
88.77,1.2,2,3.1,71.44,1,1.05,"2022-11-23",1.06,0.85,"FIFA World Cup",1908,0.2219,0.174,"Germany"
89.51,0,0,2.39,55.46,7,6.22,"2022-11-23",0.44,0.15,"FIFA World Cup",1908,0.1781,0.0595,"Spain"
82.49,2.6,0,0.65,71.59,1,1.05,"2022-11-23",1.12,2.31,"FIFA World Cup",1908,0.265,0.2462,"Belgium"
77.65,0.61,0,1,64.16,1,1.05,"2022-11-24",0.92,0.9,"FIFA World Cup",1908,0.2823,0.2186,"Switzerland"
80.9,0.4,0,0.48,66.12,0,0,"2022-11-24",0.8,0.74,"FIFA World Cup",1908,0.2838,0.1906,"Uruguay"
87.77,0.52,2,1.89,58.63,3,2.9,"2022-11-24",0.56,0.27,"FIFA World Cup",1908,0.2114,0.0912,"Portugal"
93.55,0.18,0,1.48,75.84,2,2.02,"2022-11-24",0.72,0.36,"FIFA World Cup",1908,0.2089,0.1124,"Brazil"
67.64,1.43,2,0.9,63.33,0,0,"2022-11-25",1.01,1.67,"FIFA World Cup",1908,0.3156,0.2969,"Wales"
48.16,0.75,3,0.94,73.23,1,1.05,"2022-11-25",1.66,1.28,"FIFA World Cup",1908,0.2674,0.5228,"Qatar"
86.07,0.8,1,0.07,74.37,1,1.05,"2022-11-25",0.95,1.09,"FIFA World Cup",1908,0.2803,0.2248,"Netherlands"
86.26,0.52,0,0.62,72.63,0,0,"2022-11-25",0.94,0.74,"FIFA World Cup",1908,0.2598,0.1965,"England"
66.48,0.5,1,0.89,58.65,0,0,"2022-11-26",0.96,0.65,"FIFA World Cup",1908,0.3223,0.2894,"Tunisia"
68.14,2.17,0,1.73,59.01,2,1.8,"2022-11-26",1.05,1.16,"FIFA World Cup",1908,0.3029,0.2911,"Poland"
89.25,0.5,1,2.06,78.87,2,2.1,"2022-11-26",0.96,0.7,"FIFA World Cup",1908,0.2744,0.2192,"France"
86.09,0.18,0,0.26,73.48,2,1.66,"2022-11-26",0.8,0.45,"FIFA World Cup",1908,0.2928,0.1993,"Argentina"
71.98,0.14,1,0.7,51.99,0,0,"2022-11-27",0.74,0.09,"FIFA World Cup",1908,0.2547,0.1498,"Japan"
80.54,0.48,2,0.88,74.67,0,0,"2022-11-27",1.18,0.42,"FIFA World Cup",1908,0.2873,0.3057,"Belgium"
78.46,0.37,1,1.56,73.84,4,3.68,"2022-11-27",1.05,0.85,"FIFA World Cup",1908,0.3037,0.2893,"Croatia"
91.22,0.91,1,0.57,88.73,1,1.05,"2022-11-27",1.28,1.06,"FIFA World Cup",1908,0.26,0.2781,"Spain"
63.62,1.2,3,0.91,74.55,3,3.15,"2022-11-28",1.39,1.95,"FIFA World Cup",1908,0.2981,0.4575,"Cameroon"
66.44,0.51,3,1.56,60.03,2,2.1,"2022-11-28",0.81,0.73,"FIFA World Cup",1908,0.3222,0.2348,"South Korea"
93.66,0.27,0,1.46,77.52,1,1.05,"2022-11-28",0.65,0.61,"FIFA World Cup",1908,0.2372,0.1202,"Brazil"
87.3,1.18,0,1.42,79.7,2,1.58,"2022-11-28",1,1.36,"FIFA World Cup",1908,0.298,0.2628,"Portugal"
84.38,0.19,0,1.36,48.46,2,2.1,"2022-11-29",0.65,0.45,"FIFA World Cup",1908,0.1536,0.0696,"Netherlands"
75.82,1.73,2,0.61,73,1,1.05,"2022-11-29",0.92,1.14,"FIFA World Cup",1908,0.3371,0.2961,"Ecuador"
65.77,0.92,1,0.75,72.55,0,0,"2022-11-29",1.18,1.17,"FIFA World Cup",1908,0.3154,0.3764,"Iran"
65.17,1.8,3,0.28,85.41,0,0,"2022-11-29",1.72,1.93,"FIFA World Cup",1908,0.2564,0.6,"Wales"
65.92,0.43,0,0.29,90.15,1,1.05,"2022-11-30",1.82,1.21,"FIFA World Cup",1908,0.2374,0.651,"Tunisia"
58.8,0.62,0,0.47,77.68,1,1.05,"2022-11-30",1.56,1.75,"FIFA World Cup",1908,0.2795,0.522,"Australia"
68.95,3.28,2,0.24,86.03,0,0,"2022-11-30",1.64,2.24,"FIFA World Cup",1908,0.2669,0.5784,"Poland"
58.41,1.81,2,0.62,72.44,1,1.05,"2022-11-30",1.34,2.27,"FIFA World Cup",1908,0.3066,0.4627,"Saudi Arabia"
71.52,0.37,2,0.98,74.99,1,1.05,"2022-12-01",1.21,0.24,"FIFA World Cup",1908,0.3147,0.3956,"Canada"
80.87,2.62,0,0.63,79.44,0,0,"2022-12-01",1.24,1.92,"FIFA World Cup",1908,0.2866,0.3253,"Croatia"
52.9,4.41,4,1.27,88.86,2,2.1,"2022-12-01",2.55,5.9,"FIFA World Cup",1908,0.1442,0.8045,"Costa Rica"
70.43,0.79,1,0.53,90.62,2,2.1,"2022-12-01",1.79,1.1,"FIFA World Cup",1908,0.2474,0.6135,"Japan"
60.5,1.12,2,1.35,79.28,0,0,"2022-12-02",1.57,1.44,"FIFA World Cup",1908,0.2766,0.5669,"Ghana"
66.93,0.9,1,0.85,87.55,2,2.1,"2022-12-02",1.84,0.64,"FIFA World Cup",1908,0.2468,0.5866,"South Korea"
74.72,2.42,3,0.64,77,2,2.1,"2022-12-02",1.36,1.28,"FIFA World Cup",1908,0.2909,0.3965,"Serbia"
64.48,2.75,0,0.38,93.48,1,1.05,"2022-12-02",2.29,2.99,"FIFA World Cup",1908,0.1524,0.8112,"Cameroon"
83.97,1.43,1,1.16,73.07,3,2.87,"2022-12-03",0.88,1.08,"FIFA World Cup",1908,0,0.3449,"Netherlands"
87.98,0.32,1,1.27,59.35,2,2.1,"2022-12-03",0.57,0.92,"FIFA World Cup",1908,0,0.1739,"Argentina"
88.57,1.91,1,1.17,65.77,3,2.52,"2022-12-04",0.71,0.85,"FIFA World Cup",1908,0,0.1867,"France"
86.97,1.09,0,0.87,75.47,3,3.15,"2022-12-04",0.83,0.62,"FIFA World Cup",1908,0,0.3186,"England"
73.02,1.43,1,1.55,79.14,1,1.05,"2022-12-05",1.27,1.61,"FIFA World Cup",1908,0,0.546,"Japan"
92.9,0.67,1,2.96,69.4,4,4.2,"2022-12-05",0.58,0.69,"FIFA World Cup",1908,0,0.1739,"Brazil"
74.42,1.01,0,0.69,89.2,0,0,"2022-12-06",1.44,1.58,"FIFA World Cup",1908,0,0.7289,"Morocco"
85.8,0.98,1,1.34,78.51,6,5.78,"2022-12-06",1.08,0.7,"FIFA World Cup",1908,0,0.3842,"Portugal"
78.99,1.9,1,0.62,93.47,1,1.05,"2022-12-09",1.72,2.74,"FIFA World Cup",1908,0,0.7736,"Croatia"
84.19,1.52,2,0.43,87.32,2,2.1,"2022-12-09",1.31,1.79,"FIFA World Cup",1908,0,0.5762,"Netherlands"
74.45,1.11,0,0.57,87.92,1,1.05,"2022-12-10",1.46,1.32,"FIFA World Cup",1908,0,0.6815,"Morocco"
87.59,0.97,2,2.42,87.53,1,1.05,"2022-12-10",1.23,1.53,"FIFA World Cup",1908,0,0.484,"England"
87.46,0.53,0,1.69,79.37,3,3.15,"2022-12-13",0.84,1.16,"FIFA World Cup",1908,0,0.3574,"Argentina"
87.72,0.79,0,1.4,75.13,2,1.87,"2022-12-14",0.82,0.7,"FIFA World Cup",1908,0,0.3354,"France"
77.65,0.96,1,0.76,73.92,2,2.1,"2022-12-17",0.88,0.73,"FIFA World Cup",1908,0,0.4675,"Croatia"
88.86,2.25,3,2.81,88.41,3,3.15,"2022-12-18",1.18,0.76,"FIFA World Cup",1908,0,0.4679,"Argentina"
